                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5599,                 2.3412,                 1.2325,                0.03809,                0.50909,                 0.1932,                0.09328,                  1.606,                 2.9774,                 1.2469,             0.00028194,             0.00028194,             0.00028194
                     35,                 1.4781,                 2.2434,                 1.1788,                0.03879,                0.53182,                0.21268,                0.10367,                  1.594,                 2.9133,                 1.2677,             0.00028609,             0.00028609,             0.00028609
                     36,                 1.4382,                 2.1379,                 1.1857,                0.99361,                0.09739,                0.23819,                0.12916,                 1.5875,                 2.8691,                 1.2856,             0.00028999,             0.00028999,             0.00028999
                     37,                 1.4945,                 2.2786,                 1.2409,                0.99361,                0.09739,                0.23819,                0.12916,                 1.5875,                 2.8691,                 1.2856,             0.00029364,             0.00029364,             0.00029364
                     38,                 1.4572,                 2.1353,                 1.1852,                0.99419,                0.10394,                0.24117,                0.13881,                 1.6274,                 2.8106,                  1.301,             0.00029705,             0.00029705,             0.00029705
                     39,                 1.4726,                 2.2948,                 1.1926,                0.99693,                0.10947,                0.27351,                0.15647,                 1.6268,                 2.7511,                 1.2605,              0.0003002,              0.0003002,              0.0003002
                     40,                 1.4784,                 2.1634,                   1.17,                0.99693,                0.10947,                0.27351,                0.15647,                 1.6268,                 2.7511,                 1.2605,             0.00030311,             0.00030311,             0.00030311
                     41,                 1.4509,                 2.1135,                 1.1829,                      1,                0.11784,                0.29003,                0.16752,                  1.597,                 2.6401,                 1.2008,             0.00030578,             0.00030578,             0.00030578
                     42,                  1.426,                 2.1312,                 1.1666,                      1,                0.12801,                 0.3376,                0.19421,                 1.5228,                  2.537,                  1.166,             0.00030819,             0.00030819,             0.00030819
                     43,                 1.4155,                 2.1764,                 1.1785,                      1,                0.12801,                 0.3376,                0.19421,                 1.5228,                  2.537,                  1.166,             0.00031036,             0.00031036,             0.00031036
                     44,                 1.3681,                  2.041,                 1.1399,                0.97385,                0.19124,                0.33633,                0.20308,                 1.4545,                 2.3095,                 1.1378,             0.00031228,             0.00031228,             0.00031228
                     45,                 1.4453,                 2.0694,                 1.1558,                0.97385,                0.19124,                0.33633,                0.20308,                 1.4545,                 2.3095,                 1.1378,             0.00031395,             0.00031395,             0.00031395
                     46,                 1.3736,                 2.0203,                 1.1584,                0.89268,                   0.25,                0.35085,                 0.2111,                 1.3595,                 2.0568,                 1.1211,             0.00031537,             0.00031537,             0.00031537
                     47,                 1.3799,                 2.0237,                 1.1422,                0.89268,                   0.25,                0.35085,                 0.2111,                 1.3595,                 2.0568,                 1.1211,             0.00031655,             0.00031655,             0.00031655
                     48,                  1.357,                 1.9826,                 1.1422,                0.84486,                 0.3149,                0.38714,                0.22192,                 1.3476,                 1.9524,                 1.1284,             0.00031748,             0.00031748,             0.00031748
                     49,                 1.4103,                 2.0483,                 1.1402,                0.84486,                 0.3149,                0.38714,                0.22192,                 1.3476,                 1.9524,                 1.1284,             0.00031816,             0.00031816,             0.00031816
                     50,                 1.4511,                 2.0318,                 1.1595,                0.84021,                0.34548,                0.39205,                 0.2212,                 1.3472,                 1.8638,                 1.1389,             0.00031859,             0.00031859,             0.00031859
                     51,                 1.3358,                 1.9165,                 1.1498,                0.84021,                0.34548,                0.39205,                 0.2212,                 1.3472,                 1.8638,                 1.1389,             0.00031562,             0.00031562,             0.00031562
                     52,                 1.4239,                 2.0221,                 1.1572,                0.92577,                0.31515,                0.39634,                 0.2216,                 1.3493,                 1.7822,                 1.1483,             0.00030944,             0.00030944,             0.00030944
                     53,                 1.3673,                 1.9252,                  1.128,                0.92577,                0.31515,                0.39634,                 0.2216,                 1.3493,                 1.7822,                 1.1483,             0.00030325,             0.00030325,             0.00030325
                     54,                 1.4108,                 1.9197,                 1.1487,                0.90169,                0.34091,                0.39159,                   0.23,                 1.3577,                 1.7436,                 1.1436,             0.00029706,             0.00029706,             0.00029706
                     55,                 1.3962,                 1.9435,                 1.1457,                0.90169,                0.34091,                0.39159,                   0.23,                 1.3577,                 1.7436,                 1.1436,             0.00029088,             0.00029088,             0.00029088
                     56,                 1.3632,                 1.8029,                 1.1393,                0.90648,                0.34091,                0.39368,                0.22712,                 1.3576,                 1.7299,                 1.1264,             0.00028469,             0.00028469,             0.00028469
                     57,                 1.3215,                 1.7933,                 1.0987,                0.90648,                0.34091,                0.39368,                0.22712,                 1.3576,                 1.7299,                 1.1264,              0.0002785,              0.0002785,              0.0002785
                     58,                 1.4098,                 1.9197,                 1.1364,                0.92306,                 0.3533,                0.39262,                0.23154,                 1.3762,                 1.7288,                 1.1198,             0.00027231,             0.00027231,             0.00027231
                     59,                 1.3305,                 1.8666,                 1.1038,                0.92306,                 0.3533,                0.39262,                0.23154,                 1.3762,                 1.7288,                 1.1198,             0.00026613,             0.00026613,             0.00026613
                     60,                 1.2951,                 1.7109,                 1.0963,                0.93159,                0.35771,                0.39815,                0.23088,                 1.3729,                 1.6886,                 1.1081,             0.00025994,             0.00025994,             0.00025994
                     61,                 1.3243,                 1.8548,                 1.1092,                0.93159,                0.35771,                0.39815,                0.23088,                 1.3729,                 1.6886,                 1.1081,             0.00025375,             0.00025375,             0.00025375
                     62,                 1.3763,                 1.8613,                 1.1267,                 0.9925,                0.34835,                0.41882,                0.23367,                 1.3818,                 1.6761,                 1.1086,             0.00024756,             0.00024756,             0.00024756
                     63,                 1.2754,                 1.6765,                 1.1003,                 0.9925,                0.34835,                0.41882,                0.23367,                 1.3818,                 1.6761,                 1.1086,             0.00024137,             0.00024137,             0.00024137
                     64,                 1.3348,                 1.8068,                 1.1323,                0.90855,                 0.3803,                0.41766,                0.22852,                 1.3646,                 1.6986,                 1.1091,             0.00023519,             0.00023519,             0.00023519
                     65,                 1.3336,                 1.6417,                 1.1112,                0.90855,                 0.3803,                0.41766,                0.22852,                 1.3646,                 1.6986,                 1.1091,               0.000229,               0.000229,               0.000229
                     66,                 1.3313,                 1.7202,                 1.1023,                0.94767,                 0.3491,                0.42158,                0.23434,                  1.346,                  1.689,                 1.1028,             0.00022281,             0.00022281,             0.00022281
                     67,                 1.3422,                 1.8262,                 1.1063,                0.94767,                 0.3491,                0.42158,                0.23434,                  1.346,                  1.689,                 1.1028,             0.00021662,             0.00021662,             0.00021662
                     68,                 1.3378,                 1.7645,                 1.1201,                0.95081,                0.35105,                0.40701,                0.23458,                 1.3413,                 1.6859,                 1.1019,             0.00021044,             0.00021044,             0.00021044
                     69,                 1.3039,                 1.7822,                 1.1071,                0.95081,                0.35105,                0.40701,                0.23458,                 1.3413,                 1.6859,                 1.1019,             0.00020425,             0.00020425,             0.00020425
                     70,                 1.2822,                 1.7599,                 1.1171,                0.94795,                0.35333,                0.41076,                0.23868,                 1.3664,                 1.6834,                 1.1042,             0.00019806,             0.00019806,             0.00019806
                     71,                 1.2951,                 1.6143,                 1.0892,                0.94795,                0.35333,                0.41076,                0.23868,                 1.3664,                 1.6834,                 1.1042,             0.00019188,             0.00019188,             0.00019188
                     72,                 1.2918,                 1.6465,                 1.0971,                0.94596,                0.35578,                0.40971,                0.23928,                 1.3886,                 1.6656,                 1.1091,             0.00018569,             0.00018569,             0.00018569
                     73,                 1.2911,                 1.6112,                 1.0816,                0.94596,                0.35578,                0.40971,                0.23928,                 1.3886,                 1.6656,                 1.1091,              0.0001795,              0.0001795,              0.0001795
                     74,                 1.2811,                  1.654,                  1.089,                0.95117,                0.35657,                0.40727,                0.23898,                 1.4005,                 1.6522,                 1.1094,             0.00017331,             0.00017331,             0.00017331
                     75,                 1.3356,                 1.6265,                 1.1078,                0.95117,                0.35657,                0.40727,                0.23898,                 1.4005,                 1.6522,                 1.1094,             0.00016713,             0.00016713,             0.00016713
                     76,                 1.2696,                 1.6911,                 1.1175,                0.94227,                 0.3564,                 0.4144,                0.24537,                 1.4122,                 1.6617,                 1.1048,             0.00016094,             0.00016094,             0.00016094
                     77,                  1.268,                 1.6169,                  1.094,                0.94227,                 0.3564,                 0.4144,                0.24537,                 1.4122,                 1.6617,                 1.1048,             0.00015475,             0.00015475,             0.00015475
                     78,                 1.2992,                 1.5896,                 1.0937,                0.93228,                0.35837,                0.41154,                0.25223,                 1.4002,                 1.6628,                 1.0992,             0.00014856,             0.00014856,             0.00014856
                     79,                 1.3364,                 1.6395,                 1.1083,                0.93228,                0.35837,                0.41154,                0.25223,                 1.4002,                 1.6628,                 1.0992,             0.00014237,             0.00014237,             0.00014237
                     80,                 1.2877,                 1.6136,                 1.0996,                0.92083,                0.35634,                0.41486,                0.26109,                 1.3682,                 1.6348,                  1.095,             0.00013619,             0.00013619,             0.00013619
                     81,                 1.2387,                 1.5396,                 1.0654,                0.92083,                0.35634,                0.41486,                0.26109,                 1.3682,                 1.6348,                  1.095,                0.00013,                0.00013,                0.00013
                     82,                  1.243,                 1.4142,                  1.062,                0.90993,                0.35675,                0.40897,                 0.2598,                 1.3415,                 1.6166,                 1.0912,             0.00012381,             0.00012381,             0.00012381
                     83,                 1.2616,                  1.527,                 1.0782,                0.90993,                0.35675,                0.40897,                 0.2598,                 1.3415,                 1.6166,                 1.0912,             0.00011763,             0.00011763,             0.00011763
                     84,                 1.2633,                 1.6272,                 1.0807,                0.91068,                0.35401,                0.40911,                0.26589,                 1.3342,                 1.6054,                 1.0894,             0.00011144,             0.00011144,             0.00011144
                     85,                 1.2264,                  1.459,                 1.0598,                0.91068,                0.35401,                0.40911,                0.26589,                 1.3342,                 1.6054,                 1.0894,             0.00010525,             0.00010525,             0.00010525
                     86,                  1.249,                 1.5907,                 1.0891,                 0.8157,                0.37617,                0.43009,                 0.2681,                 1.3369,                 1.5967,                 1.0883,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                 1.2985,                 1.6298,                 1.0904,                 0.8157,                0.37617,                0.43009,                 0.2681,                 1.3369,                 1.5967,                 1.0883,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                 1.3002,                 1.5255,                 1.1149,                0.93672,                 0.3499,                0.44185,                0.26957,                 1.3536,                 1.6005,                 1.0849,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                 1.2342,                 1.6091,                 1.0782,                0.93672,                 0.3499,                0.44185,                0.26957,                 1.3536,                 1.6005,                 1.0849,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                 1.2129,                 1.5381,                 1.0552,                0.94376,                0.34995,                0.43851,                0.26808,                  1.365,                  1.613,                 1.0844,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                  1.175,                 1.5113,                  1.077,                0.94376,                0.34995,                0.43851,                0.26808,                  1.365,                  1.613,                 1.0844,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                 1.1708,                  1.448,                 1.0514,                0.94456,                0.35147,                0.43556,                0.26628,                 1.3687,                 1.5804,                 1.0807,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                 1.1805,                 1.4587,                 1.0873,                0.94456,                0.35147,                0.43556,                0.26628,                 1.3687,                 1.5804,                 1.0807,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                 1.2259,                 1.5592,                 1.1144,                 0.8514,                0.35278,                0.44018,                0.26456,                 1.3789,                 1.5593,                   1.08,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                 1.2597,                 1.5469,                 1.0858,                 0.8514,                0.35278,                0.44018,                0.26456,                 1.3789,                 1.5593,                   1.08,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                 1.2009,                 1.5241,                 1.0939,                0.84795,                0.35424,                0.44022,                0.26777,                 1.3977,                 1.5307,                 1.0809,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                 1.1793,                 1.5325,                 1.0758,                0.84795,                0.35424,                0.44022,                0.26777,                 1.3977,                 1.5307,                 1.0809,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                 1.2406,                 1.4961,                 1.0659,                0.83362,                0.33837,                0.43795,                0.26768,                  1.397,                  1.504,                 1.0786,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                 1.1618,                 1.5116,                 1.0781,                0.83362,                0.33837,                0.43795,                0.26768,                  1.397,                  1.504,                 1.0786,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                 1.2028,                 1.5268,                  1.072,                0.83131,                0.33974,                0.45489,                0.27052,                 1.3941,                 1.4767,                 1.0792,             1.2438e-05,             1.2438e-05,             1.2438e-05
