                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4979,                 4.6344,                 2.5199,                0.00147,                0.00551,                0.00088,                0.00017,                  3.032,                 4.4791,                 2.2847,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 2.9283,                 4.5408,                 2.1182,                0.00682,                0.08073,                 0.0195,                0.00572,                 2.2971,                 4.4734,                 1.7926,             8.1089e-05,             8.1089e-05,             8.1089e-05
                      3,                 2.1236,                 4.2922,                 1.6268,                0.01027,                0.23785,                0.03244,                0.01188,                 1.9475,                 4.2537,                 1.4435,             0.00012451,             0.00012451,             0.00012451
                      4,                 1.8921,                 3.9082,                 1.4693,                0.02229,                0.35291,                0.04283,                0.01915,                 1.5542,                 4.0276,                 1.2166,             0.00016775,             0.00016775,             0.00016775
                      5,                  1.838,                 3.5148,                 1.3946,                0.02676,                0.37889,                0.06278,                0.03057,                 1.5956,                 3.5374,                 1.1577,             0.00021082,             0.00021082,             0.00021082
                      6,                  1.711,                 3.0664,                 1.3002,                0.02544,                0.40291,                0.09671,                0.04919,                 1.6073,                 3.4558,                 1.1774,             0.00025371,             0.00025371,             0.00025371
                      7,                 1.6759,                  2.827,                 1.2608,                0.95455,                0.08579,                0.12494,                0.06284,                 1.5963,                 3.1296,                  1.156,             0.00029644,             0.00029644,             0.00029644
                      8,                  1.657,                 2.7124,                 1.2407,                0.98262,                0.06075,                0.12674,                0.06206,                 1.5689,                 2.9545,                 1.1408,             0.00033899,             0.00033899,             0.00033899
                      9,                 1.5712,                 2.5861,                 1.2089,                0.93668,                0.09315,                0.13734,                0.07489,                 1.4924,                 2.9078,                 1.1517,             0.00038136,             0.00038136,             0.00038136
                     10,                 1.5799,                 2.5868,                 1.2007,                0.87978,                0.11387,                0.18896,                0.09488,                 1.5079,                 2.7201,                 1.1754,             0.00042357,             0.00042357,             0.00042357
                     11,                 1.4954,                  2.361,                 1.1688,                0.83722,                0.18448,                0.22173,                 0.1085,                 1.5003,                 2.4687,                 1.1742,              0.0004656,              0.0004656,              0.0004656
                     12,                 1.5683,                 2.3189,                 1.1886,                0.84256,                0.22518,                0.24867,                0.11904,                 1.4914,                 2.2338,                 1.1814,             0.00050745,             0.00050745,             0.00050745
                     13,                 1.4883,                 2.1747,                 1.1507,                0.85342,                0.23799,                0.26957,                 0.1281,                 1.4546,                 2.0741,                 1.1713,             0.00054914,             0.00054914,             0.00054914
                     14,                 1.5996,                 2.2278,                  1.168,                 0.7388,                0.19918,                0.23307,                0.09956,                 1.6939,                 2.0464,                 1.2482,             0.00059065,             0.00059065,             0.00059065
                     15,                 1.6047,                 2.1176,                 1.1731,                0.62085,                0.24153,                0.26239,                0.13203,                 1.4492,                 1.9188,                 1.1642,             0.00060768,             0.00060768,             0.00060768
                     16,                 1.5098,                 1.9863,                 1.1333,                0.32465,                 0.3553,                 0.2924,                0.14917,                 1.4188,                  1.738,                 1.1286,             0.00060644,             0.00060644,             0.00060644
                     17,                 1.4819,                 1.9587,                 1.1372,                0.36318,                0.31507,                0.30192,                0.15349,                  1.404,                 1.7445,                 1.1115,              0.0006052,              0.0006052,              0.0006052
                     18,                 1.4531,                 1.8922,                 1.1295,                0.36924,                0.34681,                0.30465,                0.16199,                  1.421,                 1.7359,                 1.1225,             0.00060396,             0.00060396,             0.00060396
                     19,                 1.4336,                 1.8355,                 1.1206,                0.34216,                0.36941,                0.31564,                0.17255,                 1.4432,                 1.7001,                 1.1286,             0.00060273,             0.00060273,             0.00060273
                     20,                 1.4515,                 1.8354,                 1.1252,                0.40872,                0.36844,                0.34023,                 0.1892,                 1.4071,                 1.7032,                 1.1075,             0.00060149,             0.00060149,             0.00060149
                     21,                 1.4412,                 1.7345,                 1.1214,                0.42143,                  0.331,                0.34031,                0.18022,                 1.4483,                 1.8976,                 1.1173,             0.00060025,             0.00060025,             0.00060025
                     22,                 1.4471,                 1.7071,                 1.1118,                0.32975,                0.25822,                0.29274,                0.13758,                 1.5867,                 2.2275,                 1.1599,             0.00059901,             0.00059901,             0.00059901
                     23,                 1.4279,                 1.7282,                 1.1109,                0.71488,                0.26247,                0.31714,                0.16157,                 1.4423,                 1.9678,                 1.1396,             0.00059777,             0.00059777,             0.00059777
                     24,                 1.3994,                 1.6949,                 1.1106,                0.39704,                0.36489,                0.37843,                0.20502,                 1.4185,                 1.8422,                 1.1067,             0.00059654,             0.00059654,             0.00059654
                     25,                 1.4059,                 1.6512,                 1.1011,                 0.4032,                0.38469,                0.38862,                0.21626,                 1.4307,                  1.784,                 1.0909,              0.0005953,              0.0005953,              0.0005953
                     26,                 1.3764,                 1.6032,                 1.1001,                0.49134,                0.34214,                0.42635,                0.24246,                 1.3572,                 1.5986,                 1.0645,             0.00059406,             0.00059406,             0.00059406
