                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5081,                 4.6104,                  2.525,                0.00084,                0.00267,                0.00045,                  4e-05,                 3.0528,                 4.5296,                 2.3275,              3.125e-05,              3.125e-05,              3.125e-05
                      2,                 3.0879,                 4.5454,                 2.2281,                0.00587,                0.02911,                0.00805,                0.00204,                 2.5232,                 4.5289,                 1.9859,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      3,                 2.3757,                 4.4354,                   1.75,                0.00679,                0.13074,                 0.0204,                  0.009,                 2.4556,                 4.3876,                 1.7241,             0.00010583,             0.00010583,             0.00010583
                      4,                 2.0468,                 4.1726,                 1.5721,                 0.0149,                0.27698,                0.03237,                0.01693,                  1.914,                 4.2272,                 1.4122,              0.0001429,              0.0001429,              0.0001429
                      5,                 1.8754,                 3.8748,                 1.4419,                 0.0267,                0.37287,                0.03953,                0.01926,                 1.6098,                 3.9692,                 1.2308,             0.00017981,             0.00017981,             0.00017981
                      6,                 1.8464,                 3.6253,                 1.3901,                0.03018,                0.39007,                0.06274,                0.02883,                  1.691,                 3.5682,                 1.1962,             0.00021658,             0.00021658,             0.00021658
                      7,                 1.7205,                 3.1813,                 1.3218,                0.03014,                0.40125,                0.09094,                0.04344,                 1.6362,                 3.3393,                 1.1876,             0.00025321,             0.00025321,             0.00025321
                      8,                 1.7415,                 3.0044,                 1.2949,                 0.0333,                0.48042,                0.10989,                0.05363,                 1.6129,                 3.2908,                 1.1945,             0.00028968,             0.00028968,             0.00028968
                      9,                  1.684,                 2.9011,                 1.2578,                0.03724,                0.52091,                0.14338,                0.06587,                 1.6418,                  3.123,                 1.2204,               0.000326,               0.000326,               0.000326
                     10,                 1.5897,                 2.7024,                 1.2123,                0.03923,                0.53975,                0.15398,                0.07686,                 1.5823,                 3.0646,                 1.2288,             0.00036218,             0.00036218,             0.00036218
                     11,                 1.6272,                 2.7147,                 1.2216,                 0.9386,                0.08517,                0.18242,                0.08209,                 1.5729,                 2.8811,                 1.2209,             0.00039821,             0.00039821,             0.00039821
                     12,                 1.5822,                 2.4978,                 1.2036,                 0.7691,                0.14309,                0.20347,                0.08874,                 1.5765,                 2.5882,                 1.2216,             0.00043409,             0.00043409,             0.00043409
                     13,                 1.5412,                 2.3622,                 1.1736,                0.58634,                0.20742,                0.22856,                0.11002,                 1.5263,                 2.5591,                 1.2214,             0.00046982,             0.00046982,             0.00046982
                     14,                  1.589,                 2.3972,                 1.1761,                0.62284,                0.22826,                0.24463,                0.12547,                 1.5061,                 2.4253,                 1.2273,              0.0005054,              0.0005054,              0.0005054
                     15,                 1.5287,                 2.2452,                 1.1663,                0.73603,                0.24064,                0.25958,                 0.1292,                 1.4947,                  2.209,                  1.227,             0.00054083,             0.00054083,             0.00054083
                     16,                 1.5162,                 2.2277,                 1.1629,                0.65984,                0.25037,                0.27197,                0.14399,                 1.4719,                 1.9592,                 1.2117,             0.00057612,             0.00057612,             0.00057612
                     17,                 1.5011,                 2.0166,                 1.1319,                0.62103,                0.29641,                0.28612,                0.15134,                 1.4905,                 1.9763,                 1.2135,              0.0006052,              0.0006052,              0.0006052
                     18,                 1.5075,                 1.9486,                  1.144,                0.37203,                0.32543,                0.30289,                0.16179,                 1.4498,                 1.8328,                 1.1888,             0.00060396,             0.00060396,             0.00060396
                     19,                 1.4827,                 1.9058,                 1.1328,                0.39404,                0.33382,                0.31445,                0.17886,                 1.4055,                 1.7754,                 1.1641,             0.00060273,             0.00060273,             0.00060273
                     20,                  1.466,                 1.8885,                 1.1321,                0.37943,                0.34283,                0.34191,                0.18532,                 1.4325,                  1.843,                 1.1513,             0.00060149,             0.00060149,             0.00060149
                     21,                 1.4477,                 1.8387,                 1.1315,                0.39787,                 0.3546,                0.34172,                0.18672,                 1.4073,                 1.8141,                 1.1485,             0.00060025,             0.00060025,             0.00060025
                     22,                  1.418,                 1.7446,                   1.11,                0.45214,                0.32188,                0.35235,                0.20083,                 1.3946,                 1.7532,                 1.1367,             0.00059901,             0.00059901,             0.00059901
                     23,                  1.496,                 1.8782,                 1.1223,                0.41532,                0.34152,                0.34421,                0.20387,                 1.4066,                 1.7133,                 1.1421,             0.00059777,             0.00059777,             0.00059777
                     24,                 1.4078,                 1.7284,                 1.1259,                0.48271,                0.34054,                0.37254,                0.21421,                 1.3993,                 1.7699,                  1.125,             0.00059654,             0.00059654,             0.00059654
                     25,                 1.4498,                  1.761,                 1.1111,                 0.4447,                 0.3739,                0.38404,                0.21449,                 1.4116,                 1.7845,                 1.1361,              0.0005953,              0.0005953,              0.0005953
                     26,                 1.4053,                 1.6901,                   1.12,                0.32369,                0.36195,                0.38311,                0.22532,                 1.3739,                 1.6294,                 1.1284,             0.00059406,             0.00059406,             0.00059406
                     27,                 1.4251,                 1.6263,                 1.1267,                0.33731,                0.38298,                0.39633,                0.23729,                 1.3822,                  1.553,                 1.1345,             0.00059282,             0.00059282,             0.00059282
                     28,                 1.4075,                  1.585,                 1.1163,                0.33216,                0.43504,                0.38749,                0.22705,                 1.3684,                 1.5281,                 1.1315,             0.00059159,             0.00059159,             0.00059159
                     29,                 1.4208,                 1.6408,                 1.1036,                0.33483,                0.42032,                0.38132,                 0.2298,                 1.3495,                  1.506,                  1.117,             0.00059035,             0.00059035,             0.00059035
                     30,                 1.3843,                 1.5931,                 1.1012,                0.37024,                0.44058,                0.39994,                0.24069,                 1.3035,                 1.5232,                 1.0926,             0.00058911,             0.00058911,             0.00058911
                     31,                 1.3801,                 1.5664,                 1.0936,                0.34923,                0.47574,                0.41565,                 0.2421,                 1.3075,                 1.5071,                 1.0985,             0.00058787,             0.00058787,             0.00058787
                     32,                 1.3676,                 1.5197,                 1.0869,                0.42602,                0.52547,                0.46684,                0.25705,                  1.366,                 1.4478,                  1.122,             0.00058664,             0.00058664,             0.00058664
                     33,                 1.3937,                 1.5556,                 1.0863,                0.41793,                0.53102,                0.48559,                0.27376,                 1.3636,                 1.4454,                 1.1154,              0.0005854,              0.0005854,              0.0005854
                     34,                 1.3608,                 1.5228,                 1.0754,                0.53665,                0.50723,                0.50617,                0.28394,                 1.3687,                 1.4576,                 1.1265,             0.00058416,             0.00058416,             0.00058416
                     35,                 1.3439,                 1.4688,                  1.071,                0.56452,                0.49364,                0.51018,                0.28954,                 1.3472,                 1.4355,                 1.1306,             0.00058292,             0.00058292,             0.00058292
                     36,                 1.3946,                 1.5116,                 1.0942,                 0.5542,                0.51116,                0.52789,                0.30966,                 1.3188,                 1.4387,                 1.1013,             0.00058169,             0.00058169,             0.00058169
                     37,                 1.4144,                 1.4612,                 1.1037,                0.57135,                0.50256,                0.52733,                0.31345,                 1.3103,                 1.4015,                 1.1009,             0.00058045,             0.00058045,             0.00058045
                     38,                 1.3842,                 1.4639,                  1.088,                0.57257,                0.53792,                0.54632,                0.31079,                 1.3763,                 1.3818,                 1.0936,             0.00057921,             0.00057921,             0.00057921
                     39,                 1.3518,                 1.4525,                 1.0744,                 0.5571,                0.52361,                0.54564,                0.31337,                 1.3323,                 1.4017,                 1.0752,             0.00057797,             0.00057797,             0.00057797
                     40,                 1.3143,                 1.4341,                 1.0606,                0.51626,                0.52632,                0.53876,                0.30487,                 1.2785,                 1.3994,                 1.0762,             0.00057674,             0.00057674,             0.00057674
                     41,                  1.316,                 1.3862,                 1.0658,                0.51913,                0.55862,                0.55326,                0.31228,                 1.2647,                 1.3751,                 1.0801,              0.0005755,              0.0005755,              0.0005755
                     42,                 1.3594,                 1.4475,                 1.0682,                 0.4978,                0.55973,                 0.5374,                0.30456,                 1.3297,                 1.3933,                 1.0881,             0.00057426,             0.00057426,             0.00057426
                     43,                 1.3235,                 1.4162,                 1.0714,                0.52789,                0.58071,                0.54016,                0.31163,                 1.3403,                 1.4289,                 1.0824,             0.00057303,             0.00057303,             0.00057303
                     44,                 1.3187,                 1.3615,                 1.0521,                0.60281,                0.55398,                0.55877,                0.32083,                 1.3249,                  1.413,                 1.0741,             0.00057179,             0.00057179,             0.00057179
                     45,                  1.269,                 1.3547,                 1.0434,                0.48403,                0.67144,                0.56833,                0.33082,                 1.3164,                  1.382,                 1.0792,             0.00057055,             0.00057055,             0.00057055
                     46,                 1.2839,                 1.3129,                 1.0566,                0.56138,                0.68035,                 0.5774,                0.33763,                 1.2761,                 1.2936,                 1.0664,             0.00056931,             0.00056931,             0.00056931
                     47,                 1.3102,                 1.3348,                 1.0522,                0.59164,                0.65929,                 0.5983,                0.34975,                 1.2611,                 1.2701,                 1.0588,             0.00056808,             0.00056808,             0.00056808
                     48,                 1.3082,                 1.3678,                 1.0707,                0.58362,                0.67751,                0.62403,                0.35813,                 1.2655,                  1.325,                 1.0674,             0.00056684,             0.00056684,             0.00056684
                     49,                 1.2782,                 1.3399,                 1.0482,                  0.613,                0.65828,                 0.6261,                0.36319,                 1.2916,                 1.3265,                 1.0819,              0.0005656,              0.0005656,              0.0005656
                     50,                  1.256,                 1.3309,                 1.0392,                0.55288,                0.70662,                0.62763,                0.34684,                 1.3324,                 1.3118,                 1.0905,             0.00056436,             0.00056436,             0.00056436
                     51,                 1.3091,                 1.3074,                 1.0472,                0.54428,                0.69936,                0.63859,                0.36324,                 1.2783,                 1.2789,                 1.0727,             0.00056313,             0.00056313,             0.00056313
                     52,                 1.3059,                 1.2917,                 1.0566,                0.56175,                0.62752,                0.61914,                0.35848,                 1.2453,                 1.2629,                 1.0583,             0.00056189,             0.00056189,             0.00056189
                     53,                 1.3194,                 1.2904,                 1.0494,                0.52689,                0.66654,                0.59721,                0.34199,                 1.2654,                 1.2989,                 1.0694,             0.00056065,             0.00056065,             0.00056065
                     54,                 1.2913,                 1.2833,                 1.0552,                0.53882,                0.58476,                0.57216,                0.33249,                 1.3129,                 1.4368,                 1.0842,             0.00055941,             0.00055941,             0.00055941
                     55,                 1.3015,                 1.2865,                 1.0371,                 0.5194,                0.63626,                 0.5838,                0.33997,                 1.3321,                 1.4733,                 1.0831,             0.00055818,             0.00055818,             0.00055818
                     56,                  1.292,                 1.2834,                 1.0464,                0.56691,                0.70111,                0.63783,                0.36926,                 1.2979,                  1.369,                 1.0726,             0.00055694,             0.00055694,             0.00055694
                     57,                 1.2387,                 1.2224,                 1.0338,                0.57563,                0.68309,                0.65415,                0.38832,                 1.2853,                  1.294,                 1.0817,              0.0005557,              0.0005557,              0.0005557
                     58,                 1.3081,                 1.2411,                 1.0468,                0.54628,                0.71569,                 0.6742,                0.41115,                 1.2574,                 1.2209,                 1.0646,             0.00055446,             0.00055446,             0.00055446
                     59,                 1.2377,                 1.2317,                 1.0368,                0.55437,                 0.7317,                0.67863,                0.41829,                 1.2386,                 1.2366,                 1.0465,             0.00055323,             0.00055323,             0.00055323
                     60,                 1.2601,                 1.2271,                 1.0424,                0.59949,                0.69931,                0.67445,                0.41459,                 1.2301,                 1.3335,                 1.0376,             0.00055199,             0.00055199,             0.00055199
                     61,                 1.2446,                   1.23,                 1.0367,                0.59797,                0.67458,                0.68218,                0.41463,                 1.2426,                 1.3251,                 1.0521,             0.00055075,             0.00055075,             0.00055075
                     62,                 1.2538,                 1.2305,                 1.0427,                0.64294,                0.66899,                0.66844,                0.41499,                 1.2236,                 1.3204,                 1.0434,             0.00054951,             0.00054951,             0.00054951
                     63,                 1.2092,                 1.1647,                 1.0198,                0.65225,                0.71212,                 0.6861,                0.42714,                 1.2179,                 1.2269,                 1.0451,             0.00054827,             0.00054827,             0.00054827
                     64,                  1.248,                 1.1908,                 1.0299,                0.60769,                0.74681,                0.67645,                0.40779,                 1.2364,                 1.2085,                 1.0684,             0.00054704,             0.00054704,             0.00054704
                     65,                  1.286,                 1.2008,                 1.0392,                0.63074,                0.72181,                0.68373,                0.40241,                 1.2444,                 1.2249,                 1.0837,              0.0005458,              0.0005458,              0.0005458
